persona,theme,difficulty,attempts,clears,clear_rate,avg_time_frac
expert,bakery,d0,60,60,1.000,0.800
expert,bakery,d1,59,54,0.915,0.754
expert,box,d0,60,60,1.000,0.615
expert,box,d1,60,60,1.000,0.541
expert,box,d2,36,36,1.000,0.472
expert,cafe,d0,60,60,1.000,0.522
expert,cafe,d1,60,56,0.933,0.433
expert,cafe,d2,47,36,0.766,0.342
expert,chicken,d0,60,60,1.000,0.473
expert,chicken,d1,60,54,0.900,0.402
expert,chicken,d2,36,0,0.000,
expert,cvs,d0,60,60,1.000,0.791
expert,cvs,d1,60,60,1.000,0.750
expert,cvs,d2,36,36,1.000,0.715
expert,fish,d0,60,60,1.000,0.672
expert,fish,d1,58,58,1.000,0.630
expert,gimbap,d0,60,60,1.000,0.847
expert,gimbap,d1,60,60,1.000,0.793
expert,gimbap,d2,47,47,1.000,0.766
expert,song,d0,60,0,0.000,
expert,song,d1,58,0,0.000,
expert,sushi,d0,60,60,1.000,0.841
expert,sushi,d1,60,60,1.000,0.811
expert,sushi,d2,36,36,1.000,0.774
expert,wash,d0,60,60,1.000,0.830
expert,wash,d1,58,58,1.000,0.806
mid,bakery,d0,60,60,1.000,0.664
mid,bakery,d1,29,26,0.897,0.554
mid,box,d0,60,60,1.000,0.505
mid,box,d1,52,52,1.000,0.416
mid,cafe,d0,60,52,0.867,0.456
mid,cafe,d1,57,36,0.632,0.325
mid,chicken,d0,60,48,0.800,0.336
mid,chicken,d1,52,2,0.038,0.282
mid,cvs,d0,60,60,1.000,0.658
mid,cvs,d1,52,52,1.000,0.584
mid,fish,d0,60,60,1.000,0.528
mid,fish,d1,26,24,0.923,0.381
mid,gimbap,d0,60,60,1.000,0.763
mid,gimbap,d1,57,57,1.000,0.652
mid,song,d0,60,0,0.000,
mid,song,d1,24,0,0.000,
mid,sushi,d0,60,60,1.000,0.753
mid,sushi,d1,52,52,1.000,0.704
mid,wash,d0,60,60,1.000,0.741
mid,wash,d1,26,26,1.000,0.704
novice,bakery,d0,56,55,0.982,0.496
novice,bakery,d1,4,3,0.750,0.332
novice,box,d0,60,60,1.000,0.332
novice,box,d1,17,17,1.000,0.198
novice,cafe,d0,60,41,0.683,0.352
novice,cafe,d1,36,12,0.333,0.302
novice,chicken,d0,60,13,0.217,0.285
novice,chicken,d1,17,0,0.000,
novice,cvs,d0,60,56,0.933,0.486
novice,cvs,d1,17,17,1.000,0.339
novice,fish,d0,56,50,0.893,0.423
novice,fish,d1,3,1,0.333,0.409
novice,gimbap,d0,60,59,0.983,0.652
novice,gimbap,d1,39,36,0.923,0.455
novice,song,d0,54,0,0.000,
novice,song,d1,1,0,0.000,
novice,sushi,d0,60,60,1.000,0.651
novice,sushi,d1,17,17,1.000,0.580
novice,wash,d0,56,56,1.000,0.628
novice,wash,d1,3,3,1.000,0.585
