persona,theme,difficulty,attempts,clears,clear_rate,avg_time_frac
expert,bakery,d0,60,60,1.000,0.783
expert,bakery,d1,60,55,0.917,0.763
expert,bakery,d2,60,55,0.917,0.709
expert,box,d0,60,60,1.000,0.598
expert,box,d1,60,60,1.000,0.521
expert,box,d2,60,60,1.000,0.451
expert,cafe,d0,60,60,1.000,0.522
expert,cafe,d1,60,57,0.950,0.454
expert,cafe,d2,60,47,0.783,0.342
expert,chicken,d0,60,58,0.967,0.422
expert,chicken,d1,60,59,0.983,0.322
expert,chicken,d2,60,54,0.900,0.266
expert,cvs,d0,60,60,1.000,0.779
expert,cvs,d1,60,60,1.000,0.730
expert,cvs,d2,60,60,1.000,0.680
expert,fish,d0,60,60,1.000,0.669
expert,fish,d1,60,60,1.000,0.598
expert,fish,d2,59,59,1.000,0.518
expert,gimbap,d0,60,60,1.000,0.847
expert,gimbap,d1,60,60,1.000,0.798
expert,gimbap,d2,60,60,1.000,0.768
expert,song,d0,60,60,1.000,0.642
expert,song,d1,60,60,1.000,0.517
expert,song,d2,59,59,1.000,0.322
expert,sushi,d0,60,60,1.000,0.829
expert,sushi,d1,60,60,1.000,0.797
expert,sushi,d2,60,60,1.000,0.752
expert,wash,d0,60,60,1.000,0.813
expert,wash,d1,60,60,1.000,0.793
expert,wash,d2,59,59,1.000,0.755
mid,bakery,d0,60,60,1.000,0.651
mid,bakery,d1,59,54,0.915,0.592
mid,bakery,d2,25,23,0.920,0.519
mid,box,d0,60,60,1.000,0.486
mid,box,d1,60,60,1.000,0.391
mid,box,d2,52,52,1.000,0.308
mid,cafe,d0,60,52,0.867,0.456
mid,cafe,d1,60,41,0.683,0.323
mid,cafe,d2,58,14,0.241,0.208
mid,chicken,d0,60,59,0.983,0.287
mid,chicken,d1,60,39,0.650,0.245
mid,chicken,d2,51,2,0.039,0.188
mid,cvs,d0,60,60,1.000,0.646
mid,cvs,d1,60,60,1.000,0.551
mid,cvs,d2,52,51,0.981,0.500
mid,fish,d0,60,60,1.000,0.536
mid,fish,d1,58,57,0.983,0.434
mid,fish,d2,23,4,0.174,0.229
mid,gimbap,d0,60,60,1.000,0.763
mid,gimbap,d1,60,60,1.000,0.640
mid,gimbap,d2,58,58,1.000,0.613
mid,song,d0,60,60,1.000,0.506
mid,song,d1,58,58,1.000,0.316
mid,song,d2,7,0,0.000,
mid,sushi,d0,60,60,1.000,0.734
mid,sushi,d1,60,60,1.000,0.675
mid,sushi,d2,52,52,1.000,0.625
mid,wash,d0,60,60,1.000,0.723
mid,wash,d1,58,58,1.000,0.692
mid,wash,d2,23,23,1.000,0.657
novice,bakery,d0,60,57,0.950,0.467
novice,bakery,d1,30,25,0.833,0.424
novice,box,d0,60,60,1.000,0.306
novice,box,d1,50,50,1.000,0.189
novice,box,d2,1,1,1.000,0.091
novice,cafe,d0,60,41,0.683,0.352
novice,cafe,d1,59,18,0.305,0.312
novice,cafe,d2,3,1,0.333,0.199
novice,chicken,d0,60,46,0.767,0.208
novice,chicken,d1,49,0,0.000,
novice,chicken,d2,1,0,0.000,
novice,cvs,d0,60,58,0.967,0.464
novice,cvs,d1,50,47,0.940,0.288
novice,cvs,d2,1,1,1.000,0.137
novice,fish,d0,59,52,0.881,0.422
novice,fish,d1,26,8,0.308,0.289
novice,gimbap,d0,60,59,0.983,0.652
novice,gimbap,d1,59,58,0.983,0.468
novice,gimbap,d2,3,3,1.000,0.551
novice,song,d0,59,59,1.000,0.160
novice,song,d1,14,0,0.000,
novice,sushi,d0,60,60,1.000,0.625
novice,sushi,d1,50,50,1.000,0.526
novice,sushi,d2,1,1,1.000,0.440
novice,wash,d0,59,59,1.000,0.601
novice,wash,d1,26,26,1.000,0.539
